"","geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","userId","direction","disease_stage","go"
"69","GO:0005840","ribosome",195,10,1.75486647755062,5.6984392419175,9.39078185702158e-06,0.000719273579185072,"RACK1;RPS26;RPL36;RPS3;RPL27;EEF2;RPS14;RPL14;RPL13A;UBA52","down","acute","cc"
"70","GO:0044445","cytosolic part",196,10,1.76386579282011,5.66936557231588,9.82315965503133e-06,0.000719273579185072,"RACK1;RPS26;RPL36;RPS3;RPL27;HSPA8;RPS14;RPL14;RPL13A;UBA52","down","acute","cc"
"71","GO:0044391","ribosomal subunit",158,9,1.42189181257948,6.32959548706659,1.16423557620093e-05,0.000767231244716415,"RACK1;RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;RPL13A;UBA52","down","acute","cc"
"72","GO:0022627","cytosolic small ribosomal subunit",35,5,0.314976034432163,15.8742236024845,1.38759503385266e-05,0.000831295570280822,"RACK1;RPS26;RPS3;RPS14;UBA52","down","acute","cc"
"73","GO:1904724","tertiary granule lumen",42,5,0.377971241318595,13.2285196687371,3.45999138459119e-05,0.00190011193537133,"MMP9;ALDOA;CST3;LRG1;CHIT1","down","acute","cc"
"74","GO:0022625","cytosolic large ribosomal subunit",56,5,0.50396165509146,9.9213897515528,0.000140703836083,0.00713260215220748,"RPL36;RPL27;RPL14;RPL13A;UBA52","down","acute","cc"
"75","GO:0015935","small ribosomal subunit",58,5,0.521960285630441,9.57927286356822,0.00016641260490724,0.00783327904527652,"RACK1;RPS26;RPS3;RPS14;UBA52","down","acute","cc"
"76","GO:0005775","vacuolar lumen",112,6,1.00792331018292,5.95283385093168,0.000501701432342072,0.022041416260895,"MPO;MNDA;BPI;HSPA8;GYG1;CTSF","down","acute","cc"
"77","GO:0035580","specific granule lumen",45,4,0.404969187127066,9.87729468599034,0.000690259596017206,0.0284300671109587,"BPI;CHI3L1;LRG1;CHIT1","down","acute","cc"
"78","GO:0070820","tertiary granule",127,6,1.14291303922528,5.24974323861691,0.000973447399118532,0.0377354021187713,"MMP9;ALDOA;CST3;ADAM8;LRG1;CHIT1","down","acute","cc"
"79","GO:0022626","cytosolic ribosome",95,7,0.371710848087646,18.8318421052632,6.94705646342442e-08,4.54000136120847e-05,"RPL26;RPL22L1;RPL22;RPS20;RPL31;RPS7;MRPL1","up","peak","cc"
"80","GO:0044391","ribosomal subunit",158,8,0.618213831556295,12.9405063291139,1.37784563314369e-07,4.54000136120847e-05,"RPL26;RPL22L1;MRPL32;RPL22;RPS20;RPL31;RPS7;MRPL1","up","peak","cc"
"81","GO:0005840","ribosome",195,8,0.762985425022009,10.4851282051282,6.91925646778557e-07,0.000118511470280774,"RPL26;RPL22L1;MRPL32;RPL22;RPS20;RPL31;RPS7;MRPL1","up","peak","cc"
"82","GO:0044445","cytosolic part",196,8,0.766898170791353,10.4316326530612,7.19341246013805e-07,0.000118511470280774,"RPL26;RPL22L1;BORCS7;RPL22;RPS20;RPL31;RPS7;MRPL1","up","peak","cc"
"83","GO:0022625","cytosolic large ribosomal subunit",56,5,0.219113763083244,22.8191964285714,2.3370770538822e-06,0.000288532077867831,"RPL26;RPL22L1;RPL22;RPL31;MRPL1","up","peak","cc"
"84","GO:0015934","large ribosomal subunit",103,6,0.403012814242395,14.8878640776699,2.62699919151288e-06,0.000288532077867831,"RPL26;RPL22L1;MRPL32;RPL22;RPL31;MRPL1","up","peak","cc"
"85","GO:0022627","cytosolic small ribosomal subunit",35,6,0.219113763083244,27.3830357142857,6.67353954320049e-08,4.39786255896912e-05,"RPS26;UBA52;RACK1;RPS14;RPS16;RPS3","down","peak","cc"
"86","GO:0015935","small ribosomal subunit",58,6,0.363102807395089,16.5242456896552,1.48764726359829e-06,0.000424184789961609,"RPS26;UBA52;RACK1;RPS14;RPS16;RPS3","down","peak","cc"
"87","GO:0022626","cytosolic ribosome",95,7,0.594737356940233,11.7699013157895,1.93103849754905e-06,0.000424184789961609,"RPL27;RPS26;UBA52;RACK1;RPS14;RPS16;RPS3","down","peak","cc"
"88","GO:0030666","endocytic vesicle membrane",106,6,0.663601682480681,9.04156839622642,4.96301927055409e-05,0.00602549394966458,"CALR;UBA52;UBC;HLA-DQA1;ATP6V0D2;TAPBP","down","peak","cc"
"89","GO:0044391","ribosomal subunit",158,7,0.989142130490071,7.07683939873418,5.47147931102554e-05,0.00602549394966458,"RPL27;RPS26;UBA52;RACK1;RPS14;RPS16;RPS3","down","peak","cc"
"90","GO:0071556","integral component of lumenal side of endoplasmic reticulum membrane",13,3,0.0813851120023476,36.8617788461538,6.40037293591078e-05,0.00602549394966458,"CALR;HLA-DQA1;TAPBP","down","peak","cc"
"91","GO:0098553","lumenal side of endoplasmic reticulum membrane",13,3,0.0813851120023476,36.8617788461538,6.40037293591078e-05,0.00602549394966458,"CALR;HLA-DQA1;TAPBP","down","peak","cc"
"92","GO:0098552","side of membrane",310,9,1.94072190159444,4.63744959677419,0.000122535594046846,0.010093869559609,"ANPEP;RPL27;CALR;TGM3;CD79A;RPS26;G6PD;HLA-DQA1;TAPBP","down","peak","cc"
"93","GO:0005840","ribosome",195,7,1.22077668003521,5.73405448717949,0.000204325868299771,0.0138956069362917,"RPL27;RPS26;UBA52;RACK1;RPS14;RPS16;RPS3","down","peak","cc"
"94","GO:0044445","cytosolic part",196,7,1.22703707326616,5.70479910714286,0.0002108589823413,0.0138956069362917,"RPL27;RPS26;UBA52;RACK1;RPS14;RPS16;RPS3","down","peak","cc"
"95","GO:0030139","endocytic vesicle",200,7,1.25207864618996,5.590703125,0.000238703748939195,0.0143005245955391,"CALR;ACTG1;UBA52;UBC;HLA-DQA1;ATP6V0D2;TAPBP","down","peak","cc"
"96","GO:0010008","endosome membrane",348,9,2.17861684437054,4.13106142241379,0.000291636391823946,0.016015698517665,"UBA52;UBC;PRAF2;NTRK2;SLC6A4;HLA-DQA1;ATP6V0D2;CHMP2A;HLA-DMB","down","peak","cc"
"97","GO:0044440","endosomal part",379,9,2.37268903452998,3.79316457783641,0.000544506607442985,0.0276022964849944,"UBA52;UBC;PRAF2;NTRK2;SLC6A4;HLA-DQA1;ATP6V0D2;CHMP2A;HLA-DMB","down","peak","cc"
"98","GO:0022626","cytosolic ribosome",95,6,0.464638560109557,12.9132631578947,6.27675544140338e-06,0.00413638183588483,"RPL26;RPL22L1;RPL31;RPS20;RPS7;RPS15A","up","late","cc"
"99","GO:0044391","ribosomal subunit",158,6,0.772767289445368,7.76430379746835,0.000112285980076399,0.0369982304351734,"RPL26;RPL22L1;RPL31;RPS20;RPS7;RPS15A","up","late","cc"
