"","gene_id","stitle"
"266","LOC113923708","IFIT3"
"267","LOC113923809","TYSND1"
"268","LOC113924177","SCARB2"
"269","LOC113924217","WDR86"
"270","LOC113924431","CYP4V2"
"271","LOC113925106","PF4"
"272","LOC113925221","SVBP"
"273","LOC113925522","PABPC1"
"274","LOC113925896","MTIF2"
"275","LOC113926259","RNF144B"
"276","LOC113926519","RIPOR2"
"277","LOC113926674","COL1A1"
"278","LOC113926680","CYB5R3"
"279","LOC113926870","H2BC4"
"280","LOC113927048","PGD"
"281","LOC113927147","ARMC12"
"282","LOC113927217","PAQR7"
"283","LOC113927294","SDHAF4"
"284","LOC113927426","PHIP"
"285","LOC113927884","NR2E1"
"286","LOC113927887","HACE1"
"287","LOC113927896","COX5B"
"288","LOC113927989","MTIF2"
"289","LOC113928025","H4C1"
"290","LOC113928037","ZSCAN9"
"291","LOC113928515","SRP19"
"292","LOC113929630","IPO11"
"293","LOC113929649","LNPEP"
"294","LOC113929735","TARDBP"
"295","LOC113929883","PURA"
"296","LOC113929952","MTIF2"
"297","LOC113930157","CSF2RA"
"298","LOC113930311","XIAP"
"299","LOC113930371","KRBOX4"
"300","LOC113930563","ARMCX1"
"301","LOC113930857","TTLL5"
"302","LOC113931147","HCCS"
"303","LOC113931192","GAB3"
"304","LOC113931217","SUPT20H"
"305","LOC113931545","TSR2"
"306","LOC113931552","P2RY10"
"307","LOC113931939","KIF28P"
"308","LOC113931963","PNMA6E"
"309","LOC113932090","TBL2"
"310","LOC113932100","AUTS2"
"311","LOC113932105","STX4"
"312","LOC113932134","ITGAX"
"313","LOC113932657","SLAMF7"
"314","LOC113932750","ZC3H11A"
"315","LOC113932762","COX20"
"316","LOC113933065","NPL"
"317","LOC113933182","BEND5"
"318","LOC113933205","CD46"
"319","LOC113933336","CRCP"
"320","LOC113934023","MSMP"
"321","LOC113934080","SNRPG"
"322","LOC113934299","CUTA"
"323","LOC113934343","NIPSNAP3A"
"324","LOC113935019","MTAP"
"325","LOC113935294","SGK3"
"326","LOC113935399","PGM1"
"327","LOC113935415","LGALS4"
"328","LOC113935436","CNEP1R1"
"329","LOC113935495","ZNF470"
"330","LOC113935569","ZFP69"
"331","LOC113935622","FFAR2"
"332","LOC113935807","ZNF577"
"333","LOC113935900","LILRB5"
"334","LOC113936273","GALP"
"335","LOC113936285","MINPP1"
"336","LOC113936321","SIGLEC5"
"337","LOC113936416","MYPOP"
"338","LOC113936457","LDLRAD4"
"339","LOC113936541","TIMP1"
"340","LOC113936551","FCGBP"
"341","LOC113936577","CD33"
"342","LOC113936639","SLC6A16"
"343","LOC113936852","CD84"
"344","LOC113936889","IGHG1"
"345","LOC113937039","ASIP"
"346","LOC113937811","L3MBTL1"
"347","LOC113938085","TMEM209"
"348","LOC113938634","SLC4A1AP"
"349","LOC113938933","SHANK3"
"350","LOC113938963","ZNF594"
"351","LOC113938982","CD300H"
"352","LOC113939266","MAP3K14"
"353","LOC113939367","GABARAP"
"354","LOC113939381","ST6GALNAC2"
"355","LOC114198974","ZNF569"
"356","LOC114198984","ZNF735"
"357","LOC114200322","MYL9"
"358","LOC114202060","KIR2DL3"
"359","LOC114202125","TRAV22"
"360","LOC114202133","TRAV22"
"361","LOC114202228","TRGC2"
"362","LOC114203196","SLC10A3"
"363","LOC114203295","PRB1"
"364","LOC114203837","RNA18S"
"365","LOC114206176","TPT1"
"366","LOC114208462","TNNI3K"
"367","LOC114210765","CAPN10"
"368","LOC114210829","SP100"
"369","LOC114211702","TRBV5-5"
"370","LOC114211774","TRBV27"
"371","LOC114211777","TRB GENE"
"372","LOC114211779","PRSS1"
"373","LOC114212268","DYNC1LI1"
"374","LOC114214474","AGFG2"
"375","LOC114216928","MAN1C1"
"376","LOC114217819","TRAV18"
"377","LOC114217830","TRAV16"
"378","LOC114217862","TRAV22"
"379","LOC114220260","FH6"
"380","LOC114220399","MS4A2"
"381","LOC114222830","TOR1AIP2"
"382","LOC114224727","DNAJB6"
"383","LOC115936489","TNRC18"
"384","LOC115936527","ERI2"
"385","LOC115936616","CNDP1"
"386","LOC115936670","HIF1AN"
"387","LOC115936759","GOLGA5"
"388","LOC115937200","DTX4"
"389","LOC115937883","MYO10"
"390","LOC115937988","ZNF544"
"391","LOC115938001","LRP8"
"392","LOC115938269","KLHL22"
"393","LOC115938512","PHACTR1"
"394","LOC115938526","GTF3C4"
"395","LOC115938680","DALRD3"
"396","LOC115938691","ELMO1"
"397","LOC115938790","SLC10A7"
"398","LOC115938849","MAP1S"
"399","LOC115938868","FBXO25"
"400","LOC115938903","ARID1B"
"401","LOC115938997","FAM156B"
"402","LOC115939224","ASRGL1"
"403","LOC115939453","RIPK2"
"404","LOC115939654","MEGF11"
"405","LOC115940183","CDKL1"
"406","LOC115940267","TRAV9-2"
"407","LOC115940381","CATSPER2"
"408","LOC115940481","XPOT"
"409","LOC115940526","DIP2C"
"410","LOC115940560","SNX6"
"411","LOC115940979","MAP3K13"
"412","LOC115941169","ZFAT"
"413","LOC115941313","PHVIN"
"414","LOC115941624","MRPL42"
"415","LOC115941882","AKAP8"
"416","LOC115942194","DNAJC13"
"417","LOC115942223","ZNF25"
"418","LOC115942229","ZSCAN12"
"419","LOC115942424","MFSD2A"
"420","LOC115942577","IL1RAP"
"421","LOC115942678","FAM174A"
"422","LOC115942970","NTRK2"
"423","LOC115943045","SYTL1"
"424","LOC115943076","MCAM"
"425","LOC115943097","CTIF"
"426","LOC115943546","RIPOR2"
"427","LOC115943548","STX17"
"428","LOC115943805","IQSEC3"
"429","LOC115943951","NKD1"
"430","LOC115944574","ARHGEF11"
"431","LOC115944696","COLQ"
"432","LOC115944814","SSBP2"
"433","LOC115944905","ANPEP"
"434","LOC115944940","CPNE2"
"435","LOC116621885","P2RY10"
"436","LOC116621971","FPR2"
"437","LOC116622018","ZNF543"
"438","LOC116622022","ZNF548"
"439","LOC116622036","ZNF146"
"440","LOC116622037","ZNF773"
"441","LOC116622197","ZNF331"
"442","LOC116622199","ZNF724"
"443","LOC116622200","ZNF677"
"444","LOC116622203","ZNF720"
"445","LOC116622213","VN1R4"
"446","LOC116622234","ZNF226"
"447","LOC116622252","ZNF132"
"448","LOC116622258","ZNF324"
"449","LOC116622319","ZNF234"
"450","LOC116622950","PLCG2"
"451","LOC116623001","AFG3L2"
"452","LOC116623006","COX4I1"
"453","LOC116623064","HIUH"
"454","LOC116623100","ARMCX1"
"455","LOC116623130","RPL36AL"
"456","LOC116623212","ZNF808"
"457","LOC116623250","ZNF420"
"458","LOC116623263","ZNF181"
"459","LOC116623264","ZNF570"
"460","LOC116623323","COX6B1"
"461","LOC116623493","CECR2"
"462","LOC116623576","CLEC4D"
"463","LOC116624192","MTHFS"
"464","LOC116624196","AP3S2"
"465","LOC116624221","SCAND2P"
"466","LOC116624465","AKR7A2"
"467","LOC116624524","C2CD2"
"468","LOC116624551","SH3BGRL3"
"469","LOC116624818","TOR1AIP2"
"470","LOC116624848","TCFL5"
"471","LOC116625113","CRYZL2"
"472","LOC116625346","RHOG"
"473","LOC116625433","TMSB10"
"474","LOC116626133","ZNF300"
"475","LOC116626202","HERC2"
"476","LOC116626285","CDK11B"
"477","LOC116626653","PPAN"
"478","LOC116626819","ZNF300"
"479","LOC116626842","ZNF140"
"480","LOC116626934","AARSD1"
"481","LOC116627294","PCCB"
"482","LOC116627476","IFI203"
"483","LOC116627703","DDT"
"484","LOC116627723","GSTT1"
"485","LOC116628049","SYT17"
"486","LOC116628051","CCP110"
"487","LOC116628061","RPS15A"
"488","LOC116628063","ARL6IP1"
"489","LOC116628065","TMC5"
"490","LOC116628082","FAM156A"
"491","LOC116628217","C4A"
"492","LOC116628296","HIRA"
"493","LOC116628569","ZKSCAN8"
"494","LOC116628791","TRIM26"
"495","LOC116628881","SLC14A1"
"496","LOC116628977","IGHV4-59"
"497","LOC116628990","KRR1"
"498","LOC116629011","NHSL2"
"499","LOC116629012","ERCC6"
"500","LOC116629038","SLC7A3"
"501","LOC116629150","ANHX"
"502","LOC116629188","VWA1"
"503","LOC116629217","ATAD3"
"504","LOC116629307","RPL10"
"505","LOC116629547","PRP33"
"506","LOC116629654","UBD"
"507","LOC116629833","ZNF658B"
"508","LOC116630123","NUDT9"
"509","LOC116630148","RPLP1"
"510","LOC116630255","METTL14"
"511","LOC116630950","CYCS"
"512","LOC116630995","CYP27A1"
"513","LOC116631050","CYP51A1"
"514","LOC116631052","BCS1L"
"515","LOC116631429","UPF3A"
"516","LOC116631491","BIVM"
"517","LOC116631660","SETDB2"
"518","LOC116632182","CAMK4"
"519","LOC116632264","COX7C"
"520","LOC116632343","CYP20A1"
"521","LOC116632716","SERPINA6"
"522","LOC116633113","COX16"
"523","LOC116633136","ACOT1"
"524","LOC116633528","CCDC54"
"525","LOC116634724","CYBRD1"
"526","LOC116634945","CP"
"527","LOC116634964","SAMD1"
"528","LOC116635429","CYB5R4"
"529","LOC116635437","RPL17"
"530","LOC116635684","UQCC2"
"531","LOC116635708","HLA-DMB"
"532","LOC116635897","HLA-DOB"
"533","LOC116636060","ZNF2"
"534","LOC116636216","AAK1"
"535","LOC116636302","ASB3"
"536","LOC116636605","ACY1"
"537","LOC116636635","STIMATE"
"538","LOC116636743","SETMAR"
"539","LOC116636997","CDC42"
"540","LOC116637041","H1FX"
"541","LOC116637467","MAML3"
"542","LOC116637607","DDX60"
"543","LOC116637616","HPF1"
"544","LOC116637790","HGSNAT"
"545","LOC116637992","ZNF705A"
"546","LOC116638018","ZNF596"
"547","LOC116638140","FKBP5"
"548","LOC116638450","YCF2"
"549","LOC116638551","USP6NL"
"550","LOC116638879","SYF2"
"551","LOC116639550","AOX2"
"552","LOC116639565","OXR1"
"553","LOC116639788","H1-0"
"554","LOC116639844","CRADD"
"555","LOC116639938","SCO2"
"556","LOC116640522","TMOD3"
"557","LOC116640619","ATP5IF1"
"558","LOC116641011","SURF1"
"559","LOC116641121","CUTA"
"560","LOC116641125","GGTA1"
"561","LOC116641168","HPRT1"
"562","LOC116641192","RABGAP1"
"563","LOC116641535","RBM12"
"564","LOC116641645","RANBP2"
"565","LOC116642222","UBE2D3"
"566","LOC116642704","MYL12B"
"567","LOC116642705","MYL9"
"568","LOC116643085","RPL30"
"569","LOC116643463","SLC25A24"
"570","LOC116643735","CYB5A"
"571","LOC116643745","RWDD4"
"572","LOC116643970","TLCD4"
"573","LOC116644586","DDX19B"
"574","LOC116644622","GBP1"
"575","LOC116645098","SR45"
"576","LOC116645145","COMMD10"
"577","LOC116645277","ANKHD1"
"578","LOC116645302","COL23A1"
"579","LOC116645389","MSLN"
"580","LOC116645853","PATE2"
"581","LOC116646150","CYBB"
"582","LOC116646387","TRIM34 "
"583","LOC116646400","MICAL2"
"584","LOC116646487","OR52I2"
"585","LOC116647050","CASP1"
"586","LOC116647131","INTS6"
"587","LOC116647135","FSIP2"
"588","LOC116647199","TM9SF2"
"589","LOC116647426","DYNLL2"
"590","LOC116647850","BEND5"
"591","LOC116647937","CD300LB"
"592","LOC116647944","CYB561"
"593","LOC116648074","UQCRH"
"594","LOC116648117","PIK3R3"
"595","LOC116648357","ZNF33B"
"596","LOC116648427","IFIT1"
"597","LOC116648445","ZNF84"
"598","LOC116648446","ZNF33B"
"599","LOC116648629","TYW1"
"600","LOC116648740","GTF2IRD2"
"601","LOC116649163","MYH2"
"602","LOC116649173","ASGR1"
"603","LOC116649198","ZNF883"
"604","LOC116649505","MTIF2"
"605","LOC117997840","ZNF773"
"606","LOC117998148","OPA3 "
"607","LOC117998239","RPS29"
"608","LOC117998321","SIGLEC11"
"609","LOC117998682","CK1"
"610","LOC117999759","IGLV3-25"
"611","LOC118000075","MAGED2"
"612","LOC118001457","ADCY10"
"613","LOC118001824","PHF10"
"614","LOC118001829","ARID1B"
"615","LOC118001935","MAP3K4"
"616","LOC118001936","AGPAT4"
"617","LOC118001950","RPS6KA2"
"618","LOC118003113","TRAV9-2"
"619","LOC118004056","HBB"
"620","LOC118004077","PPFIBP2"
"621","LOC118004768","METTL4"
"622","LOC118005818","RPL13A"
"623","LOC118006279","ZDHHC11"
"624","LOC118006433","ZNF131"
"625","LOC118006531","RICTOR"
"626","LOC118006650","ITGA1"
"627","LOC118006731","SYNPO"
"628","LOC118006785","ARL15"
"629","LOC118007341","EIPR1"
"630","LOC118007354","KIDINS220"
"631","LOC118007458","FTL"
"632","LOC118008599","MDM1"
"633","LOC118008782","ATF7"
"634","LOC118008863","COX14"
"635","LOC118009396","DDX3X"
"636","LOC118009458","MTIF2"
"637","LOC118009497","KDM6A"
"638","LOC118011348","IRF8"
"639","LOC118012045","TAF4"
"640","LOC118012409","LY75"
"641","LOC118012481","GTDC1"
"642","LOC118013166","CASP12"
"643","LOC118016106","RBM4B"
"644","LOC118017998","SLC25A16"
"645","LOC118018664","DNA2"
"646","LOC118019695","AGO1"
"647","LOC118019798","MED18"
"648","LOC118019865","IPMK"
"649","LOC118019992","CDK1"
"650","LOC118020124","JMJD1C"
"651","LOC118020965","EEPD1"
"652","LOC118021183","TRBV25-1"
"653","LOC118022172","DDX60"
"654","LOC118022885","ZNF420"
"655","LOC118024203","CANT1"
"656","LOC118025022","CCL4"
"657","LOC118025622","PTPRO"
"658","LOC118025670","KLRK1"
"659","LOC118026273","ZNF256"
"660","LOC118027077","CYP2U1"
"661","LOC118027251","BTNL1"
"662","LOC118356070","SRRM3"
"663","LOC118356144","TRGC1"
"664","LOC118356246","ZNF146"
"665","LOC118356272","IGLV1-40"
"666","LOC118518034","PRIMPOL"
"667","LOC118518059","KCNAB2"
"668","LOC118518086","MIOS"
"669","LOC118518088","DLGAP4"
"670","LOC118518097","SLC22A23"
"671","LOC118518098","SLC22A23"
"672","LOC118518108","CPA6"
"673","LOC118518124","CEBPB"
"674","LOC118518130","ADNP"
"675","LOC118518144","ZNHIT6"
"676","LOC118518152","TRIP11"
"677","LOC118518158","ACTL6B"
"678","LOC118518172","PFKFB1"
"679","LOC118518187","MEX3C"
"680","LOC118518188","PFDN5"
"681","LOC118518189","RPL10A"
"682","LOC118518199","MBD5"
"683","LOC118518209","ZNF501"
"684","LOC118518221","TRRAP"
"685","LOC118518241","MAN1B1"
"686","LOC118518259","NRARP"
"687","LOC118518263","VBP1"
"688","LOC118518282","SRPK1"
"689","LOC118518313","SMU1"
"690","LOC118518316","NFX1"
"691","LOC118518324","RPL12"
"692","LOC118518326","DNMBP"
"693","LOC118518327","AGTRAP"
"694","LOC118518349","SNORA12"
"695","LOC118518355","G6PD"
"696","LOC118518359","MTA3"
"697","LOC118518368","ARHGAP24"
"698","LOC118518373","WDFY3"
"699","LOC118518437","S100PBP"
"700","LOC118518448","AK2"
"701","LOC118518449","AK2"
"702","LOC118518473","EMC2"
"703","LOC118518477","ZMYM6"
"704","LOC118518485","NBDY"
"705","LOC118518501","TARDBP"
"706","LOC118518511","SETD3"
"707","LOC118518537","TARM1"
"708","LOC118518539","TARM1"
"709","LOC118518547","VSTM1"
"710","LOC118518612","STAT4"
"711","LOC118518639","TMSB4X"
"712","LOC118518660","GLIS3"
"713","LOC118518690","SLC8A1"
"714","LOC118518698","IGHV3-23"
"715","LOC118518713","KPNA2"
"716","LOC118518761","PPP2R2B"
"717","LOC118518779","PIGP"
"718","LOC118518785","PRDX3"
"719","LOC118518804","SOSTDC1"
"720","LOC118518818","RPLP1"
"721","LOC118518830","ERVK-19"
"722","LOC118518841","CD109"
"723","LOC118518854","FAAH"
"724","LOC118518856","UQCRH"
"725","LOC118518877","PGAP4"
"726","LOC118518887","NMNAT1"
"727","LOC118518899","DCAF13"
"728","LOC118518900","RPL31"
"729","LOC118518901","PPHLN1"
"730","LOC118518918","PET100"
"731","LOC118518919","PCP2"
"732","LOC118518925","TRAPPC5"
"733","LOC118518963","ADGRE4P"
"734","LOC118518973","KIAA1143"
"735","LOC118518977","HACE1"
"736","LOC118518980","KIF4A"
"737","LOC118518990","TMED9"
"738","LOC118518996","PARD3B"
"739","LOC118519001","PGM2"
"740","LOC118519030","MINPP1"
"741","LOC118519042","NDUFA3"
"742","LOC118519053","KIAA0556"
"743","LOC118519064","ASGR1"
"744","LOC118519066","GABARAP"
"745","LOC118519090","KCTD11"
"746","LOC118519103","TNFSF12"
"747","LOC118519118","HLA-DRA"
"748","LOC118519128","PARD6B"
"749","LOC118519137","MAP7D3"
"750","LOC118519142","FTL"
"751","LOC118519159","CD46"
"752","LOC118519163","PIGK"
"753","LOC118519164","KLRF1"
"754","LOC118519177","NDUFB3"
"755","LOC118519190","ZSWIM4"
"756","LOC118519217","PTGER1"
"757","LOC118519218","RNASEH2B"
"758","LOC118519224","NT5C3A"
"759","LOC118519226","PLCXD2"
"760","LOC118519228","RTRAF"
"761","LOC118519232","TMPRSS7"
"762","LOC118519243","CD200R1"
"763","LOC118519249","BTLA"
"764","LOC118519254","IGHG3"
"765","LOC118519255","IGHE"
"766","LOC118519269","PDS5B"
"767","LOC118519271","BRWD3"
"768","LOC118519274","STAT5B"
"769","LOC118519275","NETO2"
"770","LOC118519290","ALKBH1"
"771","LOC118519328","GAPDH"
"772","LOC118519335","ZXDB"
"773","LOC118519339","ATP5PD"
"774","LOC118519352","STAG2"
"775","LOC118519362","CDC42"
"776","LOC118519379","POPDC2"
"777","LOC118519381","POGLUT1"
"778","LOC118519392","ZNF33B"
"779","LOC118519396","CD47"
"780","LOC118519409","MRPS24"
"781","LOC118519438","GATAD2B"
"782","LOC118519453","RBM26"
"783","LOC118519455","RBM26"
"784","LOC118519456","ST13"
"785","LOC118519480","STAU1"
"786","LOC118519493","PRPSAP1"
"787","LOC118519535","VPS13B"
"788","LOC118519544","PDAP1"
"789","LOC118519545","PDAP1"
"790","LOC118519547","SOS1"
"791","LOC118519553","RPL27A"
"792","LOC118519576","BTBD1"
"793","LOC118519577","RPL37A"
"794","LOC118519579","TMEM167A"
"795","LOC118519587","RPL36A"
"796","LOC118519599","DHFR"
"797","LOC118519606","BAZ1A"
"798","LOC118519640","SELENOP"
"799","LOC118519644","SLC25A51"
"800","LOC118519647","GHR"
"801","LOC118519656","ANXA2R"
"802","LOC118519664","IGBP1"
"803","LOC118519670","CLECL1"
"804","LOC118519674","MIA3"
"805","LOC118519680","KDELR1"
"806","LOC118519684","RPL37A"
"807","LOC118519686","RAP1B"
"808","LOC118519692","GABARAPL2"
"809","LOC118519698","CYBRD1"
"810","LOC118519705","SNRPC"
"811","LOC118519711","IGHA2"
"812","LOC118519712","IGHA2"
"813","LOC118519715","IGHA2"
"814","LOC118519749","UQCRB"
"815","LOC118519758","PSMG3"
"816","LOC118519765","KPNA2"
"817","LOC118519781","SGSH"
"818","LOC118519784","ENDOV"
"819","LOC118519786","RPTOR"
"820","LOC118519799","ARHGEF2"
"821","LOC118519827","ASH1L"
"822","LOC118519855","POLD4"
"823","LOC118519860","PTPRCAP"
